Loại cảm ứng,Số Camera Selfie,Bluetooth,Thương hiệu,Cảm biến,Bộ nhớ trong,Dung lượng pin,Phụ kiện trong hộp,Màu màn hình,Tần số quét,Chất liệu mặt kính,Chất liệu,Thông báo LED,Bảo mật,Loại PIN,Công nghệ màn hình,Tốc độ tối đa,Thẻ nhớ ngoài,Tỷ lệ tương phản,Làm mát,Trọng lượng sản phẩm,Thời gian bảo hành (tháng),Độ phân giải,Camera Type 3,GPS,Hỗ trợ mạng,64 Bits,Type,Chuẩn màn hình,Sensor,Tên,Số khe SIM,CPU,Danh bạ lưu trữ,Aperture,Tỷ lệ diện tích sử dụng màn hình,OS,Cổng giao tiếp,Độ sáng tối đa,Loại SIM,Mật độ điểm ảnh,Số nhân,Hỗ trợ thẻ nhớ tối đa,Camera Type 1,Quay phim,Xuất xứ,GPU,Loại CPU,Camera Type 4,Version,Độ phủ màu,Kích thước,Resolution,Tính năng,Chuẩn kháng nước / Bụi bẩn,Phiên bản CPU,Tính năng đặc biệt,Hướng dẫn sử dụng,Công nghệ pin,Giá thị trường,RAM,Hướng dẫn bảo quản,Số camera sau,Pixel size,Kích thước màn hình,Camera Type 2,Wifi,Bộ nhớ còn lại,RAM Type,Kết nối khác,Kích thước màn hình phụ,Thời điểm ra mắt,Tỷ lệ khung hình
Điện dung đa điểm,Single selfie camera,v5.2,Asus,Cảm biến gia tốc,256 GB,6000 mAh,Ốp lưng,,165,Gorilla Glass Victus,Kính,,Mở khóa vân tay dưới màn hình,Lithium polymer,AMOLED,3.2 GHz,Không,,Có,228 g,12,2448 x 1080 Pixels,Macro lens,BDS,4G,Có,,FHD+,,Asus ROG Phone 6 12GB-256GB,2,,Không giới hạn,ƒ/2.2,82%,Android,Jack 3.5 mm,1200 nits,2 Nano SIM,395 ppi,8,,Wide,1080p@240fps,Trung Quốc,Adreno 730,,,Android 12,,172.83 x 77.25 x 10.39 mm,12.0 MP,Quay chậm (Slow Motion),IPX4,Snapdragon 8+ Gen 1,,Xem trong sách hướng dẫn sử dụng,,18990000.0,12 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,1.00 µm,6.78 inch,Ultra Wide,Wifi 6E,Khoảng 223 GB,LPDDR5,Jack 3.5 mm,,08/2022,
Điện dung đa điểm,Single selfie camera,v5.0,Apple,Cảm biến trọng lực,64 GB,2815 mAh,Cáp,16 Triệu,60,Phủ Ceramic,Mặt lưng máy: Kính,Không,Mở khóa bằng mật mã,Lithium-ion,OLED,3.1 GHz,Không,,Không,164 g,12,2532 x 1170 Pixels,,A-GPS,4G,Có,,Super Retina XDR,,iPhone 12 64GB,1,2 x Firestorm 3.1 GHz + 4 x Icestorm 1.8 GHz,Tùy bộ nhớ,ƒ/2.2,,iOS,Cổng sạc: Lightning,,"1 eSIM, 1 Nano SIM",,6,,Wide,Quay phim FullHD,Trung Quốc,,Hexa-Core,,iOS 14,,71.5 x 7.4 x 146.7 mm,12.0 MP,Nhận diện khuôn mặt,IP68,Apple A14 Bionic,,,Hỗ trợ sạc không dây,17990000.0,4 GB,,Double rear camera,,6.1 inch,Ultra Wide,802.11 ax,,,Computer sync,,10/2020,19.5:9
Điện dung đa điểm,Single selfie camera,v5.0,Apple,Cảm biến trọng lực,64 GB,3110 mAh,Cáp,16 Triệu,,Kính cường lực,Mặt lưng máy: Kính,Không,Mở khóa bằng mật mã,Lithium-ion,IPS LCD,2.65 GHz,Không,1400:1,Không,194 g,12,828 x 1792 Pixels,,GPS,4G,Có,,Liquid Retina HD,,iPhone 11 64GB,1,2 x Thunder 2.65 GHz + 4 x Lightning 1.8 GHz,Tùy bộ nhớ,ƒ/2.2,,iOS,,625 nits,"1 eSIM, 1 Nano SIM",324 ppi,6,,Wide,Quay phim HD,Trung Quốc,Apple GPU 4 nhân,Hexa-Core,,iOS 14,100% DCI-P3,75.7 x 8.3 x 150.9 mm,12.0 MP,Nhận diện khuôn mặt,IP68,Apple A13 Bionic,,,,11990000.0,4 GB,,Double rear camera,1.40 µm,6.1 inch,Ultra Wide,802.11 ax,,LPDDR4X,Radio FM,,09/2019,19.5:9
Điện dung đa điểm,Double selfie camera,v5.2,Xiaomi,Cảm biến gia tốc,128 GB,4500 mAh,Ốp lưng,Hơn 68 tỷ màu,120,Gorilla Glass 5,Mặt lưng máy: Kính,,Mở khóa vân tay dưới màn hình,,AMOLED,2.4 GHz,Không,5.000.000 : 1,,171 g,18,1080 x 2400 Pixels,Macro lens,BDS,4G,,,FHD+,Sony IMX355,Xiaomi 13 Lite 8GB-128GB,2,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,1000 nits,2 Nano SIM,402 ppi,8,,Wide,Quay phim FullHD,Trung Quốc,Qualcomm Adreno,,,Android 12,,159.2 x 72.7 x 7.23 mm,8.0 MP,Làm đẹp (Beautify),,Snapdragon 7 Gen 1,,Xem trong sách hướng dẫn sử dụng,Công nghệ tối ưu sạc Xiaomi AdaptiveCharge,10690000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.80 µm,6.55 inch,Ultra Wide,802.11 a/b/g/n/ac,Khoảng 110 GB,LPDDR4X,NFC,,2023,20:9
Điện dung đa điểm,Single selfie camera,v5.0,Oppo,Cảm biến gia tốc,256 GB,5000 mAh,Ốp lưng,16 Triệu,Màn hình chính: 90,Màn hình chính: Gorilla Glass 5,Khung máy: Hợp kim,,Mở khóa vân tay dưới màn hình,Lithium polymer,Màn hình chính: AMOLED,2.40 GHz,MicroSD,,,180 g,12,Màn hình chính: 1080 x 2400 Pixels,,GPS,4G,,,Màn hình chính: FHD+,,OPPO A78 8GB-256GB,2,,Không giới hạn,ƒ/2.0,,Android,Type C,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,Adreno 610,,,Android 13.0 (ColorOS 13.1),,160 x 73.23 x 7.99 mm,8.0 MP,Nhãn dán (AR Stickers),IP54,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,6990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,Chính: 6.4 inch,Bokeh,802.11 a/b/g/n/ac,,,Jack 3.5 mm,,07/2023,
Điện dung đa điểm,Single selfie camera,Có,Xiaomi,Cảm biến trọng lực,,5000 mAh,Ốp lưng,,120,,Mặt lưng máy: Kính,,Mở khóa bằng mật mã,Lithium polymer,AMOLED,205 GHz,MicroSD,,,207 g,18,1080 x 2400 Pixels,Super Wide + Super Macro,GPS,4G,Có,,FHD+,,Xiaomi Redmi Note 11 Pro 8GB - 128GB,2,,Không giới hạn,,,Android,,,2 Nano SIM,,8,,Standard,,Trung Quốc,,Octa-Core,Macro lens,Android 11,,76.2 x 8.3 x 163.7 mm,16.0 MP,,,MediaTek Helio G96,,,Sạc pin nhanh,7490000.0,8 GB,,Quad rear camera,,6.67 inch,Wide,,,,OTG,,01/2022,
Điện dung đa điểm,Single selfie camera,v5.0,Oppo,Cảm biến trọng lực,128 GB,5000 mAh,Ốp lưng,16 Triệu,90,Kính cường lực,Mặt lưng máy: Thủy tinh hữu cơ,Không,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2.4 GHz,MicroSD,,Không,187 g,12,720 x 1612 Pixels,,GPS,4G,Có,,HD+,,OPPO A77s 8GB-128GB,2,,Không giới hạn,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,Adreno 610,Octa-Core,,Android 12,,163.4 x 75.03 x 7.99 mm,8.0 MP,Nhãn dán (AR Stickers),Không,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,6290000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.56 inch,Depth,802.11 a/b/g/n/ac,,,OTG,,03/2022,
Điện dung đa điểm,Single selfie camera,v5.0,Vivo,Cảm biến trọng lực,128 GB,5000 mAh,Miếng dán màn hình,,90,,Mặt lưng máy: Polymer,,Mở khoá vân tay cạnh viền,,Chính: LCD,2.4 GHz,MicroSD,,,192 g,12,720 x 1612 Pixels,,GPS,4G,,,HD+,,Vivo Y22s 8GB-128GB,2,,Tùy bộ nhớ,ƒ/2.0,,Android,Type C,,2 Nano SIM,,8,1 TB,Standard,720p@60fps,Trung Quốc,,,,Android 12,,164.30 x 76.10 x 8.38 mm,8.0 MP,Ban đêm (Night Mode),IPX4,Snapdragon 680,Mở rộng bộ nhớ RAM,Xem trong sách hướng dẫn sử dụng,,5990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.55 inch,Macro lens,Dual-band (2.4 GHz/ 5 GHz),,,OTG,,09/2022,20:9
Điện dung đa điểm,,v5.0,Vivo,Cảm biến trọng lực,128 GB,5000 mAh,Miếng dán màn hình,16.7 Triệu,90,,Vỏ thân máy: Polymer,,Mở khoá vân tay cạnh viền,Lithium-ion,Chính: LCD,2.4 GHz,MicroSD,1500:1,,188 g,12,2408 x 1080 Pixels,Macro lens,GPS,4G,Có,CMOS,FHD+,,Vivo Y35 8GB-128GB,2,4 x Cortex-A73 + 4 x Cortex-A53,,ƒ/2.0,90.6%,Android,Type C,550 nits,2 Nano SIM,401 ppi,8,1 TB,Standard,,Trung Quốc,Adreno 610,,,Android 12,,164.3 x 76.1 x 8.28 mm,16.0 MP,Ban đêm (Night Mode),IP54,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,,6990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,1.00 µm,6.58 inch,Bokeh,802.11 a/b/g/n/ac,Khoảng 113 GB,LPDDR4X,OTG,,10/2022,
Điện dung đa điểm,Single selfie camera,v5.1,Honor,,128 GB,4500 mAh,Thẻ bảo hành,16.7 Triệu,90 Hz,,Nhựa,,,Lithium polymer,IPS LCD,2 GHz,,,,179 g,12,1080 x 2376 Pixel,Macro lens,,2G,,,FHD+,,Honor X8A 8GB-128GB,2,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,ƒ/2.5,,Android,,,2 Nano SIM,393 ppi,8,,Wide,Quay phim FullHD,Trung Quốc,Mali-G52 MC2,Octa-Core,,Android 12,,162.9 x 74.5 x 7.48 mm,16.0 MP,Live Photo,,MediaTek Helio G88,,Xem trong sách hướng dẫn sử dụng,,4990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n/ac,,,,,2023,19.5:9
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,16 Triệu,60,Kính cường lực Panda,Mặt lưng máy: Thủy tinh hữu cơ,Không,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2.3 GHz,MicroSD,,Không,187 g,12,720 x 1612 Pixels,,GPS,4G,,,HD+,,OPPO A57 4GB-128GB,2,,Không giới hạn,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Wide,Quay phim HD,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 12 (ColorOS 12.1),,163.7 x 75 x 7.99 mm,8.0 MP,Nhận diện khuôn mặt,IPX4,Helio G35,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,4990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.56 inch,Depth,802.11 a/b/g/n/ac,Khoảng 50 GB,,OTG,,6/2022,
Điện dung đa điểm,Single selfie camera,v5.0,Vivo,Cảm biến gia tốc,128 GB,5000 mAh,Miếng dán màn hình,16.7 Triệu,60,,Mặt lưng máy: Polymer,,Mở khoá vân tay cạnh viền,Lithium-ion,LCD,2.3 GHz,MicroSD,1500:1,,183 g,12,720 x 1600 Pixels,,A-GPS,4G,Có,CMOS,HD+,,Vivo Y16 4GB-128GB,2,,,ƒ/2.2,,Android,Type C,400 nits,2 Nano SIM,269 ​​ppi,8,1 TB,Standard,,Trung Quốc,PowerVR GE8320,,,Android 12,70% NTSC,163.95x75.55x8.19 mm,5.0 MP,Làm đẹp (Beautify),IP52,Helio P35,,Xem trong sách hướng dẫn sử dụng,,4490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,1.12 µm,6.51 inch,Macro lens,Dual-band (2.4 GHz/ 5 GHz),Khoảng 113 GB,LPDDR4X,OTG,,09/2022,20:9
Điện dung đa điểm,Single selfie camera,v5.0,Vivo,Cảm biến trọng lực,64 GB,5000 mAh,Miếng dán màn hình,16 Triệu,90,,Vỏ thân máy: Polymer,Có,Mở khoá vân tay cạnh viền,Lithium polymer,Chính: LCD,2.4 GHz,MicroSD,,Có,182 g,12,2408 x 1080 Pixels,Macro lens,GPS,4G,Có,,FHD+,,Vivo T1x 4GB-64GB,2,,Không giới hạn,ƒ/1.8,90.6%,Android,1 Type C,,2 Nano SIM,,8,1 TB,Standard,,Trung Quốc,Mali-G68 MC4,Octa-Core,,Android 11,,164.26 x 76.08 x 8.00 mm,8.0 MP,Quay video hiển thị kép,,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,4490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.58 inch,Bokeh,Dual-band (2.4 GHz/ 5 GHz),,,OTG,,07/2022,
Điện dung đa điểm,Single selfie camera,v5.2,Realme,Cảm biến vân tay,128 GB,5000 mAh,Ốp lưng,,,,Nhựa,,Mở khoá vân tay cạnh viền,Lithium polymer,Chính: LCD,2 GHz,MicroSD,,,189.5 g,12,1080 x 2400 Pixels,,GPS,4G,,,FHD+,,realme C55 6GB-128GB,2,,,,86%,Android,Type C,,2 Nano SIM,,8,,Wide,720p@60fps,Trung Quốc,,,,Android 13.0,,165.65 x 75.98 x 7.89 mm,8.0 MP,HDR,Không,MediaTek Helio G88,,Xem trong sách hướng dẫn sử dụng,,4990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Depth,Dual-band (2.4 GHz/ 5 GHz),,,OTG,,03/2023,20:9
Điện dung đa điểm,Single selfie camera,v5.0,Oppo,Cảm biến gia tốc,64 GB,5000 mAh,Ốp lưng,16 Triệu,60,Dinorex Glass,Mặt lưng máy: Nhựa,Không,Mở khoá vân tay cạnh viền,Lithium polymer,IPS LCD,2.3 GHz,MicroSD,,Không,193 g,12,720 x 1600 Pixels,Depth,BDS,4G,,,HD+,,OPPO A55 4GB-64GB,2,,Không giới hạn,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,256 GB,Wide,Quay phim HD,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 11,,163.6 x 75.7 x  8.4 mm,16.0 MP,Chuyên nghiệp (Pro),IPX4,Helio G35,Ứng dụng kép (Nhân bản ứng dụng),Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.5 inch,Macro lens,802.11 a/b/g/n/ac,Khoảng 50 GB,,OTG,,03/2022,
Điện dung đa điểm,Single selfie camera,v5.0,Samsung,,64 GB,5000 mAh,Sạc,16 Triệu,90,Mặt kính cong 2.5D,,Không,Mở khóa bằng mật mã,Lithium polymer,PLS LCD,1.6 GHz,MicroSD,,Không,195 g,12,720 x 1600 Pixels,Portrait,A-GPS,3G,Có,,HD+,,Samsung Galaxy A04s,2,,Tùy bộ nhớ,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,400 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,Octa-Core,,Android 12,,164.2 x 75.9 x 9.1 mm,5.0 MP,Làm đẹp (Beautify),Không,Exynos 850,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.5 inch,Macro lens,802.11 a/b/g/n/ac,,,OTG,,2022,
Điện dung đa điểm,Single selfie camera,v5.0,Samsung,,32 GB,5000 mAh,Sạc,16 Triệu,60,,,Không,Mở khóa bằng mật mã,Lithium polymer,,1.6 GHz,MicroSD,,Không,192 g,12,720 x 1600 Pixels,Portrait,A-GPS,3G,Có,,HD+,,Samsung Galaxy A04,2,,Tùy bộ nhớ,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,400 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,Octa-Core,,Android 12,,164.2 x 75.9 x 9.1 mm,5.0 MP,Làm đẹp (Beautify),Không,Helio P35,,Xem trong sách hướng dẫn sử dụng,,2990000.0,3 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.5 inch,Macro lens,802.11 a/b/g/n/ac,,,OTG,,2022,
Điện dung đa điểm,Single selfie camera,v5.0,Vivo,Cảm biến trọng lực,32 GB,5000 mAh,Ốp lưng,16 Triệu,60,Kính cường lực,Polymer,Có,Mở khóa bằng mật mã,Lithium polymer,IPS LCD,2.3 GHz,MicroSD,,,179 g,12,720 x 1600 Pixels,,BDS,4G,Có,,HD+,,Vivo Y15s 3GB - 32GB,2,,Không giới hạn,ƒ/2.0,89%,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim Slow Motion,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 11,,163.9 x 75.2 x 8.28 mm,8.0 MP,Nhãn dán (AR Stickers),Không,Helio P35,,,Sạc ngược cho thiết bị khác,3490000.0,3 GB,,Double rear camera,,6.51 inch,Macro lens,Dual-band (2.4 GHz/ 5 GHz),Khoảng 22 GB,,Computer sync,,10/2021,20:9
Điện dung đa điểm,Single selfie camera,v5.0,Xiaomi,Cảm biến gia tốc,64 GB,50000 mAh,Sạc,16 Triệu,,Gorilla Glass 3,Mặt lưng máy: Nhựa,Không,Mở khóa vân tay,Lithium-ion,IPS LCD,2 GHz,MicroSD,1500:1,,194 g,18,720 x 1600 Pixels,,BDS,4G,Có,,HD+,,Xiaomi Redmi 10A 3GB-64GB,2,8 x Cortex A53 2.0 GHz,Không giới hạn,ƒ/2.2,81%,Android,Micro-USB,400 nits,2 Nano SIM,268 ppi,8,1 TB,Standard,Quay phim HD,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 11,,164.9 x 77.1 x 9.0 mm,5.0 MP,Nhận diện khuôn mặt,,Helio G25,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,3290000.0,3 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.53 inch,Depth,802.11 a/b/g/n,,,Jack 3.5 mm,,07/2022,20:9
,,v5.0,Nokia,,128 MB,1450 mAh,Tai nghe,,,,Mặt lưng máy: Nhựa,,,Lithium-ion,TFT LCD,,MicroSD,,,129.1 g,12,320 x 240 Pixels,,,2G,,,QVGA,,Nokia 5710 XpressAudio,2,1.0 GHz Cortex-A7,2000,,,S30+,Micro-USB,,2 Nano SIM,,,32 GB,Standard,,Trung Quốc,,,,Nokia S30+,,138.9 x 57.7 x 16.2 mm,0.3 MP,Flash LED,,Unisoc T107,,Xem trong sách hướng dẫn sử dụng,Pin có thể tháo rời,1790000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,2.4 inch,,,,,Radio FM,,10/2022,
,Double selfie camera,v5.3,Oppo,Cảm biến gia tốc,512 GB,4805 mAh,Ốp lưng,1 Tỷ,120,Kính Schott UTG,Mặt lưng máy: kính cường lực Gorilla Glass 5 (màu vàng),,Mở khóa vân tay dưới màn hình,Lithium polymer,2K+,3.2 GHz,Không,,,245 g,12,2268 x 2440 pixels,Ultra Wide,GPS,5G,,,2K+,,OPPO Find N3 5G 16GB-512GB,2,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,2800 nit,2 Nano SIM,426 ppi,8,,Wide,Quay phim HD,Trung Quốc,Adreno 740,,,Android 13.0,,153.4 x 143.1 x 5.9 mm,32 MP,Bộ lọc màu,IPX4,Qualcomm Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,,44990000.0,16 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,7.82 inch,Telephoto,802.11 a/b/g/n/ac/ac wave 2/ax,,,OTG,6.5 inch,10/2023,
Điện dung đa điểm,Single selfie camera,v5.3,Samsung,Cảm biến gia tốc,256 GB,4400 mAh,Sách HDSD,16 Triệu,120,,Khung máy: Nhôm nguyên khối,,Mở khoá vân tay cạnh viền,Lithium polymer,Chính: Dynamic AMOLED 2X,,Không,,,253 g,12,2176 x 1812 pixels,Zoom,GPS,4G,,,QXGA,,Samsung Galaxy Z Fold5 5G,2,1 x 3.36 GHz + 4 x 2.8 GHz + 3 x 2 GHz,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Type C,1750 nits,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim FullHD,Việt Nam / Trung Quốc,Adreno 740,Octa-Core,,Android 13.0,,154.9 x 129.9 x 6.1 mm,4.0 MP,Nhãn dán (AR Stickers),IPX8,Snapdragon 8 Gen 2,Chặn cuộc gọi,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,40990000.0,12 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,7.6 inch,Macro lens,802.11 a/b/g/n,,,,6.2 inch,07/2023,21:9
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến khí áp kế,128 GB,23 Giờ,Cáp USB-C to USB-C,,,Phủ Ceramic,Khung máy: Titanium,,Mở khóa bằng mật mã,Lithium-ion,OLED,,,2.000.000:1,,187 g,12,2556 x 1179 Pixels,Telephoto,GPS,5G,,,Super Retina XDR,,iPhone 15 Pro 128GB,1,,,,,iOS,Cổng sạc: Type C,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim FullHD,Trung Quốc,,6 - Core,,iOS 17,,146.6 x 70.6 x 8.25 mm,12.0 MP,Live Photo,IP68,Apple A17 Pro,,,Sạc ngược cho thiết bị khác,28990000.0,8 GB,,Triple rear camera,,6.1 inch,Ultra Wide,Wifi 6,,,NFC,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến khí áp kế,128 GB,26 Giờ,Cáp USB-C to USB-C,,,Phủ Ceramic,Khung máy: Nhôm nguyên khối,,Mở khóa bằng mật mã,Lithium-ion,OLED,,Không,2.000.000:1,,201 g,12,2796 x 1290 Pixels,,GPS,5G,,,Super Retina XDR,,iPhone 15 Plus,1,,Không giới hạn,,,iOS,Cổng sạc: Type C,2000 nits,"1 eSIM, 1 Nano SIM",,,,Standard,Quay phim FullHD,Trung Quốc,Apple GPU 5 nhân,6 - Core,,iOS 17,,160.9 x 77.8 x 7.80 mm,12.0 MP,Live Photo,IP68,Apple A16 Bionic,,,Sạc ngược cho thiết bị khác,25990000.0,6 GB,,Double rear camera,,6.7 inch,Ultra Wide,Wifi 6,,,NFC,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến tiệm cận,128 GB,3200 mAh,Cáp,,120,Kính cường lực,,Có,Mở khóa bằng mật mã,Lithium-ion,OLED,3.46 GHz,Không,,,206 g,12,2556 x 1179 Pixels,Telephoto,GPS,5G,Có,,Super Retina XDR,,iPhone 14 Pro 128GB,1,,Không giới hạn,,,iOS,1 Lightning,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim Slow Motion,Trung Quốc,Apple GPU 5 nhân,Hexa-Core,,iOS 16,,147.5 x 71.5 x 7.85 mm,12.0 MP,Xoá phông,IP68,Apple A16 Bionic,,Xem trong sách hướng dẫn sử dụng,Tiết kiệm pin,27990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.1 inch,Ultra Wide,Wi-Fi Hotspot,Khoảng 113 GB,,NFC,,09/2022,
,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,256 GB,4300 mAh,Ốp lưng,1 Tỷ,120,Kính Schott UTG,Mặt lưng máy: Kính cường lực Gorilla Glass 7,,Mở khóa vân tay dưới màn hình,Lithium polymer,FHD+,3.05 GHz,,,,198 g,12,1080 x 2520 pixels,Telephoto,GPS,5G,,,AMOLED,,OPPO Find N3 Flip 5G 12GB-256GB,2,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,1600 nit,2 Nano SIM,,8,,Standard,Quay phim HD,Trung Quốc,ARM Immortalis-G715 MC11 @981MHz,,,Android 13.0,,166.4 x 75.8 x 7.8 mm,32.0 MP,,IPX4,Mediatek Dimensity 9200 5G,,Xem trong sách hướng dẫn sử dụng,,22990000.0,12 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.8 inch,Ultra Wide,Wi-Fi Hotspot,,,OTG,3.26 inch,10/2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến khí áp kế,128 GB,20 Giờ,Cáp USB-C to USB-C,,,Phủ Ceramic,Khung máy: Nhôm nguyên khối,,Mở khóa bằng mật mã,Lithium-ion,OLED,,Không,2.000.000:1,,171 g,12,2556 x 1179 Pixels,,QZSS,5G,,,Super Retina XDR,,iPhone 15,1,,Không giới hạn,,,iOS,Cổng sạc: Type C,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim Slow Motion,Trung Quốc,Apple GPU 5 nhân,6 - Core,,iOS 17,,147.6 x 71.6 x 7.8 mm,12.0 MP,Ổn định hình ảnh quang học,IP68,Apple A16 Bionic,,,Sạc ngược cho thiết bị khác,22990000.0,6 GB,,Double rear camera,,6.1 inch,Ultra Wide,Wifi 6,,,,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến tiệm cận,128 GB,4325 mAh,Cáp,,60,,,Có,Mở khóa bằng mật mã,Lithium-ion,AMOLED,3.22 GHz,Không,,,203 g,12,2778 x 1284 Pixels,,GLONASS,5G,,,Super Retina XDR,,iPhone 14 Plus 128GB,1,,,,,iOS,1 Lightning,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Wide,4K 4230p@60fps,Trung Quốc,Apple GPU 5 nhân,,,iOS 16,,160.8 x 78.1 x 7.8 mm,12.0 MP,,IP68,Apple A15 Bionic,,Xem trong sách hướng dẫn sử dụng,,24990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,,,,,09/2022,
Điện dung đa điểm,Single selfie camera,v5.3,Samsung,Cảm biến trọng lực,256 GB,4700 mAh,Cáp,16 Triệu,120,Mặt kính cong 2.5D,,Không,Mở khóa vân tay dưới màn hình,Lithium polymer,Dynamic AMOLED 2X,2.2 GHz,Không,,,196 g,12,1080 x 2340 Pixels,Telephoto,BDS,4G,Không,,FHD+,,Samsung Galaxy S23 Plus 5G 256GB,1,,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Type C,,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",,8,,Standard,Quay phim FullHD,Việt Nam / Trung Quốc,,Octa-Core,,Android 13.0,,161.4 x 75.6 x 7.8 mm,12.0 MP,Nhãn dán (AR Stickers),,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,26990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.6 inch,Portrait,Wi-Fi Hotspot,,,Computer sync,,02/2023,
